City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
183,Davila,PH,78.64,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
190,Kavieng,PG,80.4,light rain,-2.5744,150.7967,Nusa Island Retreat
191,Hambantota,LK,80.76,overcast clouds,6.1241,81.1185,Bungalow 63
200,Hithadhoo,MV,81.72,overcast clouds,-0.6,73.0833,Scoop Guest House
207,Komsomolskiy,UZ,80.02,clear sky,40.4272,71.7189,Ikathouse
208,Doka,SD,76.77,overcast clouds,13.5167,35.7667,
209,Uvinza,TZ,78.08,few clouds,-5.1036,30.3911,Crown Lodge
214,Kuala Terengganu,MY,79.07,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
216,Praya,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
224,Akyab,MM,81.86,overcast clouds,20.15,92.9,Hotel Memory
225,Saint Anthony,US,82.15,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
227,Miedzychod,PL,79.02,few clouds,52.5988,15.897,"Zajazd ,,OSTĘP''"
229,Maceio,BR,81.84,scattered clouds,-9.6658,-35.7353,Poutur Pousada
233,Kismayo,SO,75.65,clear sky,-0.3582,42.5454,Agan-Hotel
235,Honiara,SB,75.29,overcast clouds,-9.4333,159.95,Heritage Park Hotel
236,Nanakuli,US,78.75,clear sky,21.3906,-158.1547,Camp Pālehua
238,Luwuk,ID,76.08,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
239,Hami,CN,86.34,clear sky,42.8,93.45,Laoyutang Resort
241,Siirt,TR,77.09,scattered clouds,37.9326,41.9403,Barden Otel
242,Marzuq,YE,83.55,scattered clouds,14.4,46.4667,
244,Garden City,US,85.95,broken clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
245,Mitsamiouli,KM,77.04,clear sky,-11.3847,43.2844,Foyer ADM
246,Itagiba,BR,85.69,scattered clouds,-14.2836,-39.8428,KALIBA BAR Pousada e Restaurante
256,Trinidad,BO,82.45,few clouds,-14.8333,-64.9,Hotel Piesta
258,Dwarka,IN,81.52,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
259,Hurghada,EG,86.88,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
261,Sembe,CG,80.83,overcast clouds,1.6481,14.5806,
263,Iztapa,GT,86.05,overcast clouds,13.9333,-90.7075,Villas de Puerto Viejo
265,Acapulco,MX,87.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
267,Namatanai,PG,78.39,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
269,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
270,Ishigaki,JP,82.87,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
272,Brokopondo,SR,84.11,scattered clouds,4.75,-55.1667,Matu Island
